pmid,year
27262523,2016
27267177,2016
27268574,2016
27286331,2016
27296384,2016
27346152,2016
27404434,2016
27443817,2016
27488375,2016
27492122,2016
27545641,2016
27554394,2016
27640155,2016
27826294,2016
27832949,2017
27840223,2016
27847342,2017
27940367,2017
27942756,2017
27988308,2017
27994957,2016
28077870,2017
28150577,2017
28159592,2017
28174306,2017
28185912,2017
28254498,2017
28302499,2017
28348552,2017
28592491,2017
28690141,2017
28705721,2017
28709723,2017
28709898,2017
28774490,2017
28797638,2017
28829580,2017
28844967,2017
28857444,2017
28860073,2017
28867630,2017
28888537,2017
28892748,2017
29054825,2018
29102628,2018
29113862,2018
29127027,2018
29192085,2017
29284014,2017
29284147,2018
29305989,2018
29355763,2018
29501499,2018
29518405,2018
29532336,2018
29627478,2018
29709686,2018
29729885,2018
29738808,2018
29751033,2018
29772373,2018
29807121,2018
29902560,2018
29942306,2018
29996454,2018
30026174,2018
30050457,2018
30076875,2018
30092256,2018
30121020,2018
30125708,2018
30135412,2018
30143998,2019
30308294,2019
30339873,2019
30349521,2018
30385248,2019
30385315,2019
30468745,2019
30517845,2019
30633961,2019
30648602,2019
30652084,2019
30660738,2019
30711451,2019
30721653,2019
30797067,2019
30802629,2019
30804806,2019
30837561,2019
30850999,2019
30857186,2019
30872031,2019
30897459,2019
30905845,2019
30936046,2019
30978445,2019
30995452,2019
31028761,2019
31125303,2019
31152761,2019
31216793,2019
31233778,2019
31336155,2019
31425720,2020
31447861,2019
31472172,2020
31472263,2019
31494220,2020
31499201,2019
31525382,2020
31587643,2019
31647357,2019
31659783,2020
31669879,2020
31733219,2020
31740398,2020
31743759,2020
31760688,2020
31790795,2020
31813690,2020
31857123,2020
31881330,2020
32044463,2020
32061713,2020
32084540,2020
32088790,2020
32174442,2020
32219965,2020
32276034,2020
32283109,2020
32305504,2020
32311399,2020
32371258,2020
32387471,2020
32437859,2020
32569712,2020
32569714,2020
32789571,2020
32793193,2020
32798695,2020
32835852,2020
32841622,2021
32847054,2020
32884955,2020
32930158,2020
32941968,2020
33011432,2020
33031900,2020
33178167,2020
33197282,2021
33242570,2021
33391288,2020
33444645,2021
33643289,2020
33819545,2021
33830741,2021
33925782,2021
33930456,2021
33957267,2021
34000261,2021
34023375,2021
34193596,2021
34265728,2021
34386003,2021
34390618,2021
34418417,2021
34520817,2021
34534219,2021
34539443,2021
34540890,2021
34559285,2021
34563588,2022
34600117,2021
34619173,2022
34622639,2021
34655739,2022
34662683,2022
34711526,2021
34715129,2021
34742899,2021
34773053,2021
34868028,2021
34868083,2021
34898657,2021
34906687,2022
34965964,2022
34998985,2022
35120925,2022
35120936,2022
35150828,2022
35155654,2021
35176468,2022
35183562,2022
35238186,2022
35259068,2022
35462003,2022
35525493,2022
35562078,2022
35569578,2022
35640531,2022
35654141,2022
35669507,2022
35671794,2022
35697269,2022
35772590,2022
35777363,2022
35777710,2022
35835384,2022
35863534,2022
35870748,2022
35882195,2022
35911684,2022
35917891,2022
36194497,2022
36280129,2022
36309323,2022
36341874,2022
36347398,2023
36362371,2022
36403705,2023
36419610,2022
36548464,2023
36591234,2022
36618076,2023
36621705,2023
36642286,2023
36709365,2023
36746229,2023
36773473,2023
36853050,2023
36868539,2023
36871631,2023
36907338,2023
36918451,2023
36921701,2023
36922441,2023
36933883,2023
36948368,2023
37007472,2023
37044269,2023
37065179,2023
37116769,2023
37146451,2023
37169107,2023
37201731,2023
37210465,2023
37216400,2023
37230373,2023
37257569,2023
37257572,2023
37276929,2023
37342622,2023
37353060,2023
37429340,2023
37540224,2023
37575045,2023
37586599,2023
37633344,2023
37640120,2023
37656737,2023
37708948,2023
37709179,2023
37730190,2023
37764177,2023
37802234,2024
37839671,2024
37915855,2023
37984612,2023
38065305,2024
38129066,2024
38158142,2024
38163495,2024
38184970,2024
38242069,2024
38256110,2024
38404622,2024
38426898,2024
38490346,2024
38502428,2024
38513908,2024
38522715,2024
38537729,2024
38548001,2024
38663462,2024
38685443,2024
38705548,2024
38789572,2024
38792735,2024
38897309,2024
38925430,2024
38940521,2024
38960105,2024
38964676,2024
38986992,2024
39003864,2024
39084275,2024
39102970,2024
39122097,2024
39146353,2024
39147178,2024
39151743,2024
39168293,2024
39368257,2024
39414953,2024
39571859,2024
39586384,2024
1768147,1991
2256783,1990
6787029,1981
8050065,1994
9684317,1998
9687436,1998
9731288,1998
10229952,1999
10347874,1999
10594718,1999
10601206,1999
10610823,2000
10696479,1999
11108021,2000
11211274,2001
11319116,2001
11491345,2001
11678229,2001
11827339,2002
12017771,2002
12174042,2002
12608565,2003
12624199,2003
12658520,2003
12807197,2003
14990317,2004
15109135,2004
15143042,2004
15545447,2004
15574928,2004
15640176,2005
15648832,2004
15731455,2005
16033454,2005
16042042,2005
16269767,2005
16280478,2005
16349023,1993
16349042,1993
16476480,2006
16501931,2006
16724560,2006
16828121,2006
16885273,2006
16909348,2006
16926100,2007
17122399,2007
17169102,2006
17499535,2007
17557169,2008
17628674,2008
17628715,2007
17760382,2007
17940819,2008
17978204,2007
18045442,2007
18164873,2008
18329901,2008
18359809,2008
18495491,2008
18497299,2008
18777187,2009
18793642,2008
18836018,2008
18854215,2008
19186015,2009
19187159,2009
19364337,2009
19538643,2009
19576219,2009
19640660,2009
19748588,2009
19899345,2009
19921544,2010
19941025,2010
20012275,2010
20045066,2010
20066960,2009
20074236,2010
20156478,2010
20371291,2010
20391910,2010
20493193,2010
20560360,2010
20600957,2010
20601119,2010
20624467,2010
20629700,2010
20833182,2011
21133322,2010
21134379,2011
21170356,2010
21204573,2011
21269501,2011
21282662,2011
21296930,2011
21566386,2009
21672632,2011
21802516,2011
21829707,2011
21930884,2011
21947974,2012
22051180,2012
22066815,2011
22072436,2012
22233514,2012
22267807,2012
22314526,2012
22327168,2012
22342649,2012
22974320,2013
23014953,2013
23063538,2013
23097430,2012
23228459,2013
23496328,2014
23625262,2013
23651278,2014
23685009,2013
23689721,2013
23789748,2013
23806640,2013
23886491,2013
23911357,2013
23978566,2013
24056279,2013
24072640,2014
24080469,2013
24127639,2013
24184842,2013
24345370,2014
24468075,2014
24575086,2014
24600557,2013
24607288,2014
24704420,2014
24725454,2015
24747055,2014
24795372,2014
24905482,2014
24909498,2014
24931626,2014
24949634,2014
25027277,2014
25089010,2014
25141719,2013
25307203,2015
25450196,2015
25451001,2014
25541078,2015
25556193,2015
25586509,2015
25689491,2015
25800112,2015
25868475,2015
25895094,2015
25910848,2015
25917973,2015
26002640,2015
26072161,2015
26091834,2015
26093208,2015
26099218,2015
26190497,2015
26193268,2015
26206609,2015
26223836,2015
26257382,2015
26299704,2015
26352925,2015
26363086,2016
26476308,2016
26482792,2015
26592708,2016
26648104,2015
26719026,2016
26723266,2016
26777896,2016
26801576,2016
26828393,2016
26893436,2016
26993612,2016
26994670,2016
27032602,2016
27032691,2016
27040527,2016
27043172,2016
27108378,2016
27245866,2016
27262523,2016
27267177,2016
27268574,2016
27286331,2016
27296384,2016
27346152,2016
27404434,2016
27443817,2016
27488375,2016
27492122,2016
27545641,2016
27554394,2016
27640155,2016
27826294,2016
27832949,2017
27840223,2016
27847342,2017
27940367,2017
27942756,2017
27988308,2017
27994957,2016
28077870,2017
28150577,2017
28159592,2017
28174306,2017
28185912,2017
28254498,2017
28302499,2017
28348552,2017
28592491,2017
28690141,2017
28705721,2017
28709723,2017
28709898,2017
28774490,2017
28797638,2017
28829580,2017
28844967,2017
28857444,2017
28860073,2017
28867630,2017
28888537,2017
28892748,2017
29054825,2018
29102628,2018
29113862,2018
29127027,2018
29192085,2017
29284014,2017
29284147,2018
29305989,2018
29355763,2018
29501499,2018
29518405,2018
29532336,2018
29627478,2018
29709686,2018
29729885,2018
29738808,2018
29751033,2018
29772373,2018
29807121,2018
29902560,2018
29942306,2018
29996454,2018
30026174,2018
30050457,2018
30076875,2018
30092256,2018
30121020,2018
30125708,2018
30135412,2018
30143998,2019
30308294,2019
30339873,2019
30349521,2018
30385248,2019
30385315,2019
30468745,2019
30517845,2019
30633961,2019
30648602,2019
30652084,2019
30660738,2019
30711451,2019
30721653,2019
30797067,2019
30802629,2019
30804806,2019
30837561,2019
30850999,2019
30857186,2019
30872031,2019
30897459,2019
30905845,2019
30936046,2019
30978445,2019
30995452,2019
31028761,2019
31125303,2019
31152761,2019
31216793,2019
31233778,2019
31336155,2019
31425720,2020
31447861,2019
31472172,2020
31472263,2019
31494220,2020
31499201,2019
31525382,2020
31587643,2019
31647357,2019
31659783,2020
31669879,2020
31733219,2020
31740398,2020
31743759,2020
31760688,2020
31790795,2020
31813690,2020
31857123,2020
31881330,2020
32044463,2020
32061713,2020
32084540,2020
32088790,2020
32174442,2020
32219965,2020
32276034,2020
32283109,2020
32305504,2020
32311399,2020
32371258,2020
32387471,2020
32437859,2020
32569712,2020
32569714,2020
32789571,2020
32793193,2020
32798695,2020
32835852,2020
32841622,2021
32847054,2020
32884955,2020
32930158,2020
32941968,2020
33011432,2020
33031900,2020
33178167,2020
33197282,2021
33242570,2021
33391288,2020
33444645,2021
33643289,2020
33819545,2021
33830741,2021
33925782,2021
33930456,2021
33957267,2021
34000261,2021
34023375,2021
34193596,2021
34265728,2021
34386003,2021
34390618,2021
34418417,2021
34520817,2021
34534219,2021
34539443,2021
34540890,2021
34559285,2021
34563588,2022
34600117,2021
34619173,2022
34622639,2021
34655739,2022
34662683,2022
34711526,2021
34715129,2021
34742899,2021
34773053,2021
34868028,2021
34868083,2021
34898657,2021
34906687,2022
34965964,2022
34998985,2022
35120925,2022
35120936,2022
35150828,2022
35155654,2021
35176468,2022
35183562,2022
35238186,2022
35259068,2022
35462003,2022
35525493,2022
35562078,2022
35569578,2022
35640531,2022
35654141,2022
35669507,2022
35671794,2022
35697269,2022
35772590,2022
35777363,2022
35777710,2022
35835384,2022
35863534,2022
35870748,2022
35882195,2022
35911684,2022
35917891,2022
36194497,2022
36280129,2022
36309323,2022
36341874,2022
36347398,2023
36362371,2022
36403705,2023
36419610,2022
36548464,2023
36591234,2022
36618076,2023
36621705,2023
36642286,2023
36709365,2023
36746229,2023
36773473,2023
36853050,2023
36868539,2023
36871631,2023
36907338,2023
36918451,2023
36921701,2023
36922441,2023
36933883,2023
36948368,2023
37007472,2023
37044269,2023
37065179,2023
37116769,2023
37146451,2023
37169107,2023
37201731,2023
37210465,2023
37216400,2023
37230373,2023
37257569,2023
37257572,2023
37276929,2023
37342622,2023
37353060,2023
37429340,2023
37540224,2023
37575045,2023
37586599,2023
37633344,2023
37640120,2023
37656737,2023
37708948,2023
37709179,2023
37730190,2023
37764177,2023
37802234,2024
37839671,2024
37915855,2023
37984612,2023
38065305,2024
38129066,2024
38158142,2024
38163495,2024
38184970,2024
38242069,2024
38256110,2024
38404622,2024
38426898,2024
38490346,2024
38502428,2024
38513908,2024
38522715,2024
38537729,2024
38548001,2024
38663462,2024
38685443,2024
38705548,2024
38789572,2024
38792735,2024
38897309,2024
38925430,2024
38940521,2024
38960105,2024
38964676,2024
38986992,2024
39003864,2024
39084275,2024
39102970,2024
39122097,2024
39146353,2024
39147178,2024
39151743,2024
39168293,2024
39368257,2024
39414953,2024
39571859,2024
39586384,2024
